date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:56:22	125/125	---M--	302	error ('Found')	text/html	date:Wed,%2031%20Jan%202024%2007:56:21%20GMT	https://themewagon.gitlab.io/robots.txt		(from )
14:56:23	60239/60239	---M--	200	added ('OK')	text/html	date:Wed,%2017%20Feb%202021%2020:24:00%20GMT	https://themewagon.gitlab.io/medicare/	D:/template%20test/template/themewagon.gitlab.io/medicare/index.html	(from )
14:56:24	7423/7423	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Feb%202021%2020:24:00%20GMT	https://themewagon.gitlab.io/medicare/assets/img/favicons/apple-touch-icon.png	D:/template%20test/template/themewagon.gitlab.io/medicare/assets/img/favicons/apple-touch-icon.png	(from https://themewagon.gitlab.io/medicare/)
14:56:26	1750/1750	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Feb%202021%2020:24:00%20GMT	https://themewagon.gitlab.io/medicare/assets/img/favicons/favicon-32x32.png	D:/template%20test/template/themewagon.gitlab.io/medicare/assets/img/favicons/favicon-32x32.png	(from https://themewagon.gitlab.io/medicare/)
14:56:27	1124/1124	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Feb%202021%2020:24:00%20GMT	https://themewagon.gitlab.io/medicare/assets/img/favicons/favicon-16x16.png	D:/template%20test/template/themewagon.gitlab.io/medicare/assets/img/favicons/favicon-16x16.png	(from https://themewagon.gitlab.io/medicare/)
14:56:29	15086/15086	---M--	200	added ('OK')	image/vnd.microsoft.icon	date:Wed,%2017%20Feb%202021%2020:24:00%20GMT	https://themewagon.gitlab.io/medicare/assets/img/favicons/favicon.ico	D:/template%20test/template/themewagon.gitlab.io/medicare/assets/img/favicons/favicon.ico	(from https://themewagon.gitlab.io/medicare/)
14:56:30	403/403	---M--	200	added ('OK')	application/json	date:Wed,%2017%20Feb%202021%2020:24:00%20GMT	https://themewagon.gitlab.io/medicare/assets/img/favicons/manifest.json	D:/template%20test/template/themewagon.gitlab.io/medicare/assets/img/favicons/manifest.json	(from https://themewagon.gitlab.io/medicare/)
14:56:32	5836/5836	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Feb%202021%2020:24:00%20GMT	https://themewagon.gitlab.io/medicare/assets/img/favicons/mstile-150x150.png	D:/template%20test/template/themewagon.gitlab.io/medicare/assets/img/favicons/mstile-150x150.png	(from https://themewagon.gitlab.io/medicare/)
14:56:33	41406/41406	---M--	200	added ('OK')	text/css	date:Wed,%2017%20Feb%202021%2020:24:00%20GMT	https://themewagon.gitlab.io/medicare/assets/lib/loaders.css/loaders.min.css	D:/template%20test/template/themewagon.gitlab.io/medicare/assets/lib/loaders.css/loaders.min.css	(from https://themewagon.gitlab.io/medicare/)
14:56:34	6940/6940	---M--	200	added ('OK')	text/css	date:Wed,%2017%20Feb%202021%2020:24:00%20GMT	https://themewagon.gitlab.io/medicare/assets/lib/flexslider/flexslider.css	D:/template%20test/template/themewagon.gitlab.io/medicare/assets/lib/flexslider/flexslider.css	(from https://themewagon.gitlab.io/medicare/)
